EmpID,Process Name,Date,Attendance Count,Total Working day,Shrinkage,Present,Absent
RMCB 1007,Quality Team Production,April,19,22,86%,-3,-29%
RMCB 1007,Quality Team Production,May,19,22,86%,-3,-29%
RMCB 1007,Quality Team Production,June,9,22,41%,-13,-3%
RMCB 1010,SB,April,21,22,95%,-1,-95%
RMCB 1010,SB,May,20,22,91%,-2,-45%
RMCB 1010,SB,June,10,22,45%,-12,-4%
RMCB 1027,SB,April,19,22,86%,-3,-29%
RMCB 1027,SB,May,21,22,95%,-1,-95%
RMCB 1027,SB,June,8,22,36%,-14,-3%
RMCB 1048,SB,April,20,22,91%,-2,-45%
RMCB 1048,SB,May,21,22,95%,-1,-95%
RMCB 1048,SB,June,9,22,41%,-13,-3%
RMCB 1055,SB,April,20,22,91%,-2,-45%
RMCB 1055,SB,May,18,22,82%,-4,-20%
RMCB 1055,SB,June,9,22,41%,-13,-3%
RMCB 1056,SB,April,7,22,32%,-15,-2%
RMCB 1056,SB,May,19,22,86%,-3,-29%
RMCB 1056,SB,June,8,22,36%,-14,-3%
RMCB 1059,SB,April,21,22,95%,-1,-95%
RMCB 1059,SB,May,21,22,95%,-1,-95%
RMCB 1059,SB,June,10,22,45%,-12,-4%
RMCB 1062,Payment Posting,April,20,22,91%,-2,-45%
RMCB 1062,Payment Posting,May,17,22,77%,-5,-15%
RMCB 1062,Payment Posting,June,10,22,45%,-12,-4%
RMCB 1073,Quality Team Production,April,21,22,95%,-1,-95%
RMCB 1073,Quality Team Production,May,19,22,86%,-3,-29%
RMCB 1073,Quality Team Production,June,10,22,45%,-12,-4%
RMCB 1084,Extraction,April,21,22,95%,-1,-95%
RMCB 1084,Extraction,May,21,22,95%,-1,-95%
RMCB 1084,Extraction,June,15,22,68%,-7,-10%
RMCB 1116,Payment Posting,April,11,22,50%,-11,-5%
RMCB 1116,Payment Posting,May,17,22,77%,-5,-15%
RMCB 1116,Payment Posting,June,10,22,45%,-12,-4%
RMCB 1122,SB,April,19,22,86%,-3,-29%
RMCB 1122,SB,May,21,22,95%,-1,-95%
RMCB 1122,SB,June,8,22,36%,-14,-3%
RMCB 1125,SB,April,21,22,95%,-1,-95%
RMCB 1125,SB,May,20,22,91%,-2,-45%
RMCB 1125,SB,June,9,22,41%,-13,-3%
RMCB 1156,SB,April,21,22,95%,-1,-95%
RMCB 1156,SB,May,18,22,82%,-4,-20%
RMCB 1156,SB,June,9,22,41%,-13,-3%
RMCB 1160,Payment Posting,April,21,22,95%,-1,-95%
RMCB 1160,Payment Posting,May,22,22,100%,0,#DIV/0!
RMCB 1160,Payment Posting,June,7,22,32%,-15,-2%
RMCB 1165,Denial Management,April,18,22,82%,-4,-20%
RMCB 1165,Denial Management,May,20,22,91%,-2,-45%
RMCB 1165,Denial Management,June,10,22,45%,-12,-4%
RMCB 1167,Quality Team Production,April,22,22,100%,0,#DIV/0!
RMCB 1167,Quality Team Production,May,19,22,86%,-3,-29%
RMCB 1167,Quality Team Production,June,10,22,45%,-12,-4%
RMCB 1171,SB,April,20,22,91%,-2,-45%
RMCB 1171,SB,May,21,22,95%,-1,-95%
RMCB 1171,SB,June,14,22,64%,-8,-8%
RMCB 1182,Payment Posting,April,20,22,91%,-2,-45%
RMCB 1182,Payment Posting,May,21,22,95%,-1,-95%
